date,year,quarter_number,quarter_name,month_number,month_name,month_short_name,week_of_year,week_of_month,day,day_of_week,day_of_year,day_name,day_short_name
5/1/2021,2021,2,Q2,5,mayo,may.,17,1,1,7,121,sábado,sáb
5/2/2021,2021,2,Q2,5,mayo,may.,17,1,2,1,122,domingo,dom
5/3/2021,2021,2,Q2,5,mayo,may.,18,2,3,2,123,lunes,lun
5/4/2021,2021,2,Q2,5,mayo,may.,18,2,4,3,124,martes,mar
5/5/2021,2021,2,Q2,5,mayo,may.,18,2,5,4,125,miércoles,mié
5/6/2021,2021,2,Q2,5,mayo,may.,18,2,6,5,126,jueves,jue
5/7/2021,2021,2,Q2,5,mayo,may.,18,2,7,6,127,viernes,vie
5/8/2021,2021,2,Q2,5,mayo,may.,18,2,8,7,128,sábado,sáb
5/9/2021,2021,2,Q2,5,mayo,may.,18,2,9,1,129,domingo,dom
5/10/2021,2021,2,Q2,5,mayo,may.,19,3,10,2,130,lunes,lun
5/11/2021,2021,2,Q2,5,mayo,may.,19,3,11,3,131,martes,mar
5/12/2021,2021,2,Q2,5,mayo,may.,19,3,12,4,132,miércoles,mié
5/13/2021,2021,2,Q2,5,mayo,may.,19,3,13,5,133,jueves,jue
5/14/2021,2021,2,Q2,5,mayo,may.,19,3,14,6,134,viernes,vie
5/15/2021,2021,2,Q2,5,mayo,may.,19,3,15,7,135,sábado,sáb
5/16/2021,2021,2,Q2,5,mayo,may.,19,3,16,1,136,domingo,dom
5/17/2021,2021,2,Q2,5,mayo,may.,20,4,17,2,137,lunes,lun
5/18/2021,2021,2,Q2,5,mayo,may.,20,4,18,3,138,martes,mar
5/19/2021,2021,2,Q2,5,mayo,may.,20,4,19,4,139,miércoles,mié
5/20/2021,2021,2,Q2,5,mayo,may.,20,4,20,5,140,jueves,jue
5/21/2021,2021,2,Q2,5,mayo,may.,20,4,21,6,141,viernes,vie
5/22/2021,2021,2,Q2,5,mayo,may.,20,4,22,7,142,sábado,sáb
5/23/2021,2021,2,Q2,5,mayo,may.,20,4,23,1,143,domingo,dom
5/24/2021,2021,2,Q2,5,mayo,may.,21,5,24,2,144,lunes,lun
5/25/2021,2021,2,Q2,5,mayo,may.,21,5,25,3,145,martes,mar
5/26/2021,2021,2,Q2,5,mayo,may.,21,5,26,4,146,miércoles,mié
5/27/2021,2021,2,Q2,5,mayo,may.,21,5,27,5,147,jueves,jue
5/28/2021,2021,2,Q2,5,mayo,may.,21,5,28,6,148,viernes,vie
5/29/2021,2021,2,Q2,5,mayo,may.,21,5,29,7,149,sábado,sáb
5/30/2021,2021,2,Q2,5,mayo,may.,21,5,30,1,150,domingo,dom
5/31/2021,2021,2,Q2,5,mayo,may.,22,6,31,2,151,lunes,lun
6/1/2021,2021,2,Q2,6,junio,jun.,22,1,1,3,152,martes,mar
6/2/2021,2021,2,Q2,6,junio,jun.,22,1,2,4,153,miércoles,mié
